populations_count,populaton_size,min_clauses_count,max_clauses_count,min_literals_count,max_literals_count,final_population_size,new_formulas_percentage,crossing_percentage,result
40,100,10,10,2,2,100,100,0,0.840647
40,100,10,10,2,2,100,100,0,0.8615
40,100,10,10,3,3,100,100,0,0.651727
40,100,10,10,3,3,100,100,0,0.6676
40,100,10,10,4,4,100,100,0,0.610955
40,100,10,10,4,4,100,100,0,0.620955
40,100,10,10,5,5,100,100,0,0.600855
40,100,10,10,5,5,100,100,0,0.600655
40,100,10,10,1,1,100,100,0,0.854653
40,100,10,10,1,1,100,100,0,0.851852
40,100,10,10,1,1,100,100,0,0.838699
