populations_count,populaton_size,min_clauses_count,max_clauses_count,min_literals_count,max_literals_count,final_population_size,new_formulas_percentage,crossing_percentage,result
40,10,10,10,2,2,100,10,0,0.717087
40,10,10,10,2,2,100,10,0,0.706816
40,10,10,10,2,2,100,10,0,0.744787
40,30,10,10,2,2,100,30,0,0.8061
40,30,10,10,2,2,100,30,0,0.813259
40,30,10,10,2,2,100,30,0,0.81855
40,50,10,10,2,2,100,50,0,0.844071
40,50,10,10,2,2,100,50,0,0.837846
40,50,10,10,2,2,100,50,0,0.850918
40,70,10,10,2,2,100,70,0,0.835045
40,70,10,10,2,2,100,70,0,0.815126
40,70,10,10,2,2,100,70,0,0.825086
40,100,10,10,2,2,100,100,0,0.85403
40,100,10,10,2,2,100,100,0,0.862745
40,100,10,10,2,2,100,100,0,0.845005
40,110,10,10,2,2,120,110,0,0.851581
40,110,10,10,2,2,120,110,0,0.853489
40,110,10,10,2,2,120,110,0,0.844774
40,120,10,10,2,2,120,120,0,0.847765
40,120,10,10,2,2,120,120,0,0.84897
40,120,10,10,2,2,120,120,0,0.846832

